PlayerID,TeamID,FIRSTNAME,LASTNAME,DOB
1,1,Arron,Afflalo,1985-10-15
2,1,Lou,Amundson,1982-12-07
3,2,Bojan,Bogdanovic,1989-04-18
4,2,Wayne,Ellington,1987-11-29
5,10,Chris,Bosh,1984-03-24
6,16,Cliff,Alexander,1995-11-16
7,10,Josh,Richardson,1993-09-15
8,15,Steven,Adams,1993-07-20
9,3,Elton,Brand,1979-03-11
10,17,Stephen,Curry,1988-03-14
11,14,Gorgui,Dieng,1990-01-18
12,21,Wesley,Matthews,1986-10-14
13,19,LeBron,James,1984-12-30
14,4,Bruno,Caboclo,1995-09-21
15,5,Nikola,Mirotic,1991-02-11
16,10,Hassan,Whiteside,1989-06-13
17,24,Omer,Asik,1986-07-04
18,15,Kyle,Singler,1988-05-04
19,9,Kyle,Korver,1981-03-17
20,2,Donald,Sloan,1988-01-15
21,1,Derrick,Williams,1991-05-25
22,22,Patrick,Beverley,1988-07-12
23,18,Jamal,Crawford,1980-03-20
24,7,Joel,Anthony,1982-08-09
25,5,Derrick,Rose,1988-10-04
26,26,Giannis,Antetokounmpo,1994-12-06
27,27,Nicolas,Batum,1988-12-14
28,28,Amir,Johnson,1987-05-01
29,29,Trevor,Booker,1987-11-25
30,30,Quincy,Acy,1990-08-06
